ID,B_treat,L_treat,day,silo,container,length,normality
BG8,T,C,14,3,3,196,n
BG8,T,T,14,2,5,196,n
BG4,C,C,14,2,2,196.2,n
BG7,T,C,14,3,3,196.2,n
BG6,T,C,14,2,2,196.3,n
BG6,T,C,14,3,3,196.3,n
BG8,T,T,14,2,5,196.6,n
BG7,T,C,14,1,1,196.7,n
BG9,T,C,14,2,2,196.8,n
BG4,C,C,14,1,1,196.9,n
BG6,T,C,14,2,2,197.1,n
BG9,T,C,14,2,2,197.1,n
BG7,T,C,14,3,3,197.2,n
BG8,T,C,14,3,3,197.2,n
BG3,C,C,14,1,1,197.3,n
BG9,T,C,14,1,1,197.3,n
BG9,T,C,14,3,3,197.3,n
BG9,T,C,14,3,3,197.3,n
BG6,T,C,14,2,2,197.5,n
BG8,T,C,14,1,1,197.5,n
BG6,T,C,14,3,3,198,n
BG6,T,C,14,3,3,198.2,n
BG7,T,T,14,1,4,198.2,n
BG7,T,T,14,1,4,198.3,n
BG8,T,C,14,3,3,198.6,n
BG4,C,C,14,2,2,198.7,n
BG4,C,C,14,1,1,198.9,n
BG9,T,C,14,2,2,198.9,n
BG9,T,C,14,1,1,199.1,n
BG6,T,C,14,3,3,199.2,n
BG7,T,T,14,1,4,199.3,n
BG9,T,C,14,1,1,199.6,n
BG7,T,C,14,3,3,199.7,n
BG4,C,C,14,2,2,199.8,n
BG6,T,C,14,3,3,199.9,n
BG8,T,C,14,3,3,200.1,n
BG8,T,T,14,2,5,200.1,n
BG9,T,C,14,2,2,200.1,n
BG6,T,C,14,2,2,200.4,a
BG8,T,C,14,3,3,200.5,n
BG8,T,C,14,1,1,200.6,a
BG7,T,C,14,3,3,200.7,a
BG9,T,C,14,2,2,200.7,n
BG7,T,C,14,3,3,200.9,n
BG8,T,C,14,1,1,200.9,n
BG8,T,C,14,3,3,201.2,n
BG8,T,C,14,3,3,201.2,n
BG6,T,C,14,2,2,201.3,n
BG6,T,C,14,3,3,201.3,n
BG4,C,C,14,2,2,201.5,n
BG6,T,C,14,3,3,201.5,n
BG4,C,C,14,3,3,201.8,n
BG6,T,C,14,2,2,201.8,n
BG7,T,C,14,3,3,201.8,n
BG7,T,T,14,1,4,202.1,n
BG8,T,C,14,1,1,202.1,n
BG8,T,C,14,3,3,202.2,n
BG9,T,C,14,3,3,202.2,n
BG6,T,C,14,2,2,202.3,n
BG8,T,T,14,1,4,202.3,n
BG6,T,T,14,2,5,202.6,n
BG9,T,C,14,3,3,202.7,n
BG4,C,C,14,3,3,202.9,n
BG9,T,C,14,1,1,202.9,n
BG4,C,C,14,1,1,203.1,n
BG4,C,C,14,2,2,203.2,n
BG8,T,C,14,1,1,203.2,n
BG8,T,C,14,3,3,203.2,n
BG9,T,C,14,1,1,203.2,n
BG8,T,C,14,3,3,203.6,n
BG9,T,C,14,3,3,203.7,n
BG6,T,C,14,2,2,203.8,n
BG7,T,T,14,1,4,203.9,n
BG8,T,C,14,3,3,204.1,n
BG6,T,C,14,2,2,204.4,n
BG4,C,C,14,3,3,204.5,n
BG9,T,C,14,3,3,204.8,n
BG6,T,C,14,2,2,205.4,a
BG7,T,C,14,3,3,205.4,n
BG6,T,C,14,3,3,205.5,n
BG6,T,C,14,3,3,205.5,n
BG8,T,C,14,1,1,205.5,n
BG9,T,C,14,1,1,205.6,n
BG9,T,C,14,1,1,205.7,n
BG4,C,C,14,2,2,206.4,n
BG9,T,C,14,3,3,206.5,n
BG9,T,C,14,3,3,207,n
BG7,T,T,14,1,4,207.1,a
BG4,C,C,14,2,2,207.2,n
BG4,C,C,14,2,2,207.2,n
BG9,T,C,14,3,3,207.2,n
BG4,C,C,14,2,2,207.6,n
BG6,T,T,14,2,5,207.6,n
BG7,T,C,14,1,1,207.6,n
BG4,C,C,14,2,2,207.7,n
BG6,T,C,14,2,2,207.7,n
BG9,T,C,14,2,2,207.8,n
BG8,T,C,14,1,1,207.9,n
BG8,T,C,14,3,3,208,n
BG9,T,C,14,3,3,208.1,n
BG7,T,C,14,3,3,208.2,n
BG6,T,C,14,3,3,208.3,n
BG8,T,C,14,1,1,208.4,n
BG7,T,C,14,3,3,208.5,n
BG9,T,C,14,3,3,208.5,n
BG9,T,C,14,1,1,208.6,n
BG6,T,C,14,3,3,209.2,n
BG4,C,C,14,3,3,209.3,n
BG8,T,C,14,3,3,209.4,n
BG9,T,C,14,1,1,211,n
BG9,T,C,14,1,1,211,n
BG6,T,C,14,2,2,211.1,n
BG7,T,C,14,3,3,211.2,n
BG8,T,C,14,3,3,211.8,n
BG8,T,C,14,3,3,212,n
BG8,T,T,14,3,6,212.1,n
BG6,T,C,14,2,2,212.3,n
BG9,T,C,14,3,3,212.8,n
BG9,T,C,14,3,3,212.9,n
BG7,T,C,14,1,1,213,n
BG9,T,C,14,2,2,213.1,n
BG7,T,T,14,1,4,213.8,n
BG6,T,C,14,2,2,214.4,n
BG8,T,C,14,3,3,214.4,a
BG6,T,C,14,2,2,214.5,n
BG6,T,C,14,3,3,214.6,n
BG9,T,C,14,2,2,214.6,n
BG8,T,C,14,1,1,215.5,n
BG4,C,C,14,1,1,215.7,n
BG6,T,C,14,2,2,215.9,n
BG9,T,C,14,1,1,216.1,n
BG8,T,C,14,1,1,216.3,n
BG8,T,C,14,3,3,217.2,n
BG9,T,C,14,2,2,217.4,n
BG9,T,C,14,1,1,217.5,n
BG9,T,C,14,3,3,217.8,n
